Data,NORORSOA11004
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,2.0
2020-04-10,2.0
2020-04-11,2.0
2020-04-12,2.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,2.0
2020-04-16,2.0
2020-04-17,2.0
2020-04-18,2.0
2020-04-19,3.0
2020-04-20,3.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,3.0
2020-04-24,3.0
2020-04-25,5.0
2020-04-26,8.0
2020-04-27,7.0
2020-04-28,8.0
2020-04-29,11.0
2020-04-30,12.0
2020-05-01,14.0
2020-05-02,18.0
2020-05-03,18.0
2020-05-04,19.0
2020-05-05,23.0
2020-05-06,27.0
2020-05-07,31.0
2020-05-08,33.0
2020-05-09,35.0
2020-05-10,37.0
2020-05-11,41.0
2020-05-12,43.0
2020-05-13,43.0
2020-05-14,47.0
2020-05-15,53.0
2020-05-16,60.0
2020-05-17,63.0
2020-05-18,66.0
2020-05-19,76.0
2020-05-20,78.0
2020-05-21,87.0
2020-05-22,89.0
2020-05-23,97.0
2020-05-24,100.0
2020-05-25,100.0
2020-05-26,111.0
2020-05-27,114.0
2020-05-28,119.0
2020-05-29,124.0
2020-05-30,129.0
2020-05-31,133.0
2020-06-01,135.0
2020-06-02,145.0
2020-06-03,152.0
2020-06-04,165.0
2020-06-05,183.0
2020-06-06,199.0
2020-06-07,204.0
2020-06-08,213.0
2020-06-09,219.0
2020-06-10,229.0
2020-06-11,249.0
2020-06-12,254.0
2020-06-13,261.0
2020-06-14,272.0
2020-06-15,279.0
2020-06-16,287.0
2020-06-17,299.0
2020-06-18,311.0
2020-06-19,325.0
2020-06-20,343.0
2020-06-21,348.0
2020-06-22,361.0
2020-06-23,372.0
2020-06-24,380.0
2020-06-25,391.0
2020-06-26,395.0
2020-06-27,395.0
2020-06-28,403.0
2020-06-29,413.0
2020-06-30,424.0
2020-07-01,424.0
2020-07-02,429.0
2020-07-03,431.0
2020-07-04,445.0
2020-07-05,450.0
2020-07-06,451.0
2020-07-07,468.0
2020-07-08,471.0
2020-07-09,473.0
2020-07-10,485.0
2020-07-11,495.0
2020-07-12,503.0
2020-07-13,513.0
2020-07-14,523.0
2020-07-15,526.0
2020-07-16,527.0
2020-07-17,534.0
2020-07-18,534.0
2020-07-19,534.0
2020-07-20,551.0
2020-07-21,560.0
2020-07-22,586.0
2020-07-23,605.0
2020-07-24,615.0
2020-07-25,622.0
2020-07-26,625.0
2020-07-27,635.0
2020-07-28,640.0
2020-07-29,647.0
2020-07-30,652.0
2020-07-31,655.0
2020-08-01,661.0
2020-08-02,661.0
2020-08-03,662.0
2020-08-04,666.0
2020-08-05,674.0
2020-08-06,674.0
2020-08-07,680.0
2020-08-08,682.0
2020-08-09,682.0
2020-08-10,683.0
