Data,SURSRSOA43007
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,3.0
2020-04-06,3.0
2020-04-07,3.0
2020-04-08,3.0
2020-04-09,3.0
2020-04-10,4.0
2020-04-11,4.0
2020-04-12,4.0
2020-04-13,3.0
2020-04-14,4.0
2020-04-15,4.0
2020-04-16,4.0
2020-04-17,4.0
2020-04-18,4.0
2020-04-19,4.0
2020-04-20,4.0
2020-04-21,4.0
2020-04-22,4.0
2020-04-23,4.0
2020-04-24,4.0
2020-04-25,4.0
2020-04-26,4.0
2020-04-27,4.0
2020-04-28,4.0
2020-04-29,4.0
2020-04-30,4.0
2020-05-01,4.0
2020-05-02,4.0
2020-05-03,4.0
2020-05-04,4.0
2020-05-05,4.0
2020-05-06,4.0
2020-05-07,4.0
2020-05-08,4.0
2020-05-09,4.0
2020-05-10,4.0
2020-05-11,4.0
2020-05-12,4.0
2020-05-13,4.0
2020-05-14,4.0
2020-05-15,4.0
2020-05-16,4.0
2020-05-17,4.0
2020-05-18,4.0
2020-05-19,4.0
2020-05-20,4.0
2020-05-21,4.0
2020-05-22,4.0
2020-05-23,4.0
2020-05-24,4.0
2020-05-25,4.0
2020-05-26,5.0
2020-05-27,6.0
2020-05-28,6.0
2020-05-29,6.0
2020-05-30,6.0
2020-05-31,6.0
2020-06-01,7.0
2020-06-02,8.0
2020-06-03,10.0
2020-06-04,10.0
2020-06-05,10.0
2020-06-06,11.0
2020-06-07,11.0
2020-06-08,11.0
2020-06-09,12.0
2020-06-10,13.0
2020-06-11,14.0
2020-06-12,16.0
2020-06-13,16.0
2020-06-14,16.0
2020-06-15,16.0
2020-06-16,17.0
2020-06-17,20.0
2020-06-18,23.0
2020-06-19,26.0
2020-06-20,26.0
2020-06-21,26.0
2020-06-22,30.0
2020-06-23,31.0
2020-06-24,32.0
2020-06-25,32.0
