Data,OASiC_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,1.0
2020-03-27,1.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,5.0
2020-04-04,5.0
2020-04-05,10.0
2020-04-06,10.0
2020-04-07,11.0
2020-04-08,15.0
2020-04-09,17.0
2020-04-10,18.0
2020-04-11,21.0
2020-04-12,24.0
2020-04-13,24.0
2020-04-14,26.0
2020-04-15,28.0
2020-04-16,29.0
2020-04-17,30.0
2020-04-18,31.0
2020-04-19,32.0
2020-04-20,35.0
2020-04-21,35.0
2020-04-22,37.0
2020-04-23,39.0
2020-04-24,42.0
2020-04-25,42.0
2020-04-26,42.0
2020-04-27,43.0
2020-04-28,44.0
2020-04-29,44.0
2020-04-30,46.0
2020-05-01,48.0
2020-05-02,52.0
2020-05-03,52.0
2020-05-04,52.0
2020-05-05,55.0
2020-05-06,59.0
2020-05-07,63.0
2020-05-08,63.0
2020-05-09,64.0
2020-05-10,65.0
2020-05-11,69.0
2020-05-12,73.0
2020-05-13,73.0
2020-05-14,78.0
2020-05-15,79.0
2020-05-16,81.0
2020-05-17,83.0
2020-05-18,85.0
2020-05-19,91.0
2020-05-20,94.0
2020-05-21,98.0
2020-05-22,100.0
2020-05-23,103.0
2020-05-24,105.0
2020-05-25,109.0
2020-05-26,121.0
2020-05-27,126.0
2020-05-28,131.0
2020-05-29,134.0
2020-05-30,136.0
2020-05-31,143.0
2020-06-01,146.0
2020-06-02,148.0
2020-06-03,152.0
2020-06-04,156.0
2020-06-05,159.0
2020-06-06,166.0
2020-06-07,171.0
2020-06-08,171.0
2020-06-09,179.0
2020-06-10,184.0
2020-06-11,186.0
2020-06-12,191.0
2020-06-13,193.0
2020-06-14,195.0
2020-06-15,199.0
2020-06-16,212.0
2020-06-17,216.0
2020-06-18,222.0
2020-06-19,234.0
2020-06-20,237.0
2020-06-21,246.0
