Data,OARiO_An
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,2.0
2020-04-10,2.0
2020-04-11,2.0
2020-04-12,2.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,2.0
2020-04-16,3.0
2020-04-17,3.0
2020-04-18,3.0
2020-04-19,4.0
2020-04-20,4.0
2020-04-21,4.0
2020-04-22,5.0
2020-04-23,5.0
2020-04-24,5.0
2020-04-25,7.0
2020-04-26,10.0
2020-04-27,10.0
2020-04-28,11.0
2020-04-29,15.0
2020-04-30,16.0
2020-05-01,18.0
2020-05-02,23.0
2020-05-03,24.0
2020-05-04,25.0
2020-05-05,29.0
2020-05-06,33.0
2020-05-07,37.0
2020-05-08,39.0
2020-05-09,41.0
2020-05-10,43.0
2020-05-11,47.0
2020-05-12,50.0
2020-05-13,50.0
2020-05-14,56.0
2020-05-15,62.0
2020-05-16,69.0
2020-05-17,74.0
2020-05-18,77.0
2020-05-19,87.0
2020-05-20,90.0
2020-05-21,101.0
2020-05-22,106.0
2020-05-23,115.0
2020-05-24,121.0
2020-05-25,121.0
2020-05-26,133.0
2020-05-27,137.0
2020-05-28,142.0
2020-05-29,145.0
2020-05-30,151.0
2020-05-31,156.0
2020-06-01,159.0
2020-06-02,172.0
2020-06-03,180.0
2020-06-04,194.0
2020-06-05,213.0
2020-06-06,228.0
2020-06-07,235.0
