Data,NEMARSOA21002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,1.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,3.0
2020-05-10,2.0
2020-05-11,3.0
2020-05-12,3.0
2020-05-13,3.0
2020-05-14,3.0
2020-05-15,3.0
2020-05-16,3.0
2020-05-17,3.0
2020-05-18,3.0
2020-05-19,3.0
2020-05-20,3.0
2020-05-21,3.0
2020-05-22,4.0
2020-05-23,4.0
2020-05-24,4.0
2020-05-25,4.0
2020-05-26,4.0
2020-05-27,4.0
2020-05-28,5.0
2020-05-29,5.0
2020-05-30,6.0
2020-05-31,6.0
2020-06-01,10.0
2020-06-02,10.0
2020-06-03,11.0
2020-06-04,12.0
2020-06-05,14.0
2020-06-06,16.0
2020-06-07,17.0
2020-06-08,21.0
2020-06-09,21.0
2020-06-10,20.0
2020-06-11,21.0
2020-06-12,22.0
2020-06-13,22.0
2020-06-14,24.0
