Data,SUSCRSCA42009
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,2.0
2020-04-10,3.0
2020-04-11,5.0
2020-04-12,5.0
2020-04-13,6.0
2020-04-14,5.0
2020-04-15,5.0
2020-04-16,5.0
2020-04-17,5.0
2020-04-18,5.0
2020-04-19,7.0
2020-04-20,9.0
2020-04-21,9.0
2020-04-22,9.0
2020-04-23,9.0
2020-04-24,10.0
2020-04-25,10.0
2020-04-26,10.0
2020-04-27,11.0
2020-04-28,11.0
2020-04-29,16.0
2020-04-30,17.0
2020-05-01,18.0
2020-05-02,19.0
2020-05-03,19.0
2020-05-04,20.0
2020-05-05,20.0
2020-05-06,20.0
2020-05-07,28.0
2020-05-08,27.0
2020-05-09,29.0
2020-05-10,29.0
2020-05-11,31.0
2020-05-12,31.0
2020-05-13,36.0
2020-05-14,40.0
2020-05-15,40.0
2020-05-16,40.0
2020-05-17,40.0
2020-05-18,43.0
2020-05-19,44.0
2020-05-20,44.0
2020-05-21,44.0
2020-05-22,42.0
2020-05-23,42.0
2020-05-24,45.0
2020-05-25,48.0
2020-05-26,48.0
2020-05-27,48.0
2020-05-28,50.0
2020-05-29,56.0
2020-05-30,58.0
2020-05-31,59.0
2020-06-01,63.0
2020-06-02,66.0
2020-06-03,71.0
2020-06-04,85.0
2020-06-05,92.0
2020-06-06,95.0
2020-06-07,96.0
2020-06-08,96.0
2020-06-09,107.0
2020-06-10,119.0
2020-06-11,133.0
2020-06-12,133.0
2020-06-13,134.0
2020-06-14,136.0
2020-06-15,142.0
