Data,SUPRRSOA41013
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,2.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,2.0
2020-04-16,2.0
2020-04-17,2.0
2020-04-18,2.0
2020-04-19,2.0
2020-04-20,2.0
2020-04-21,2.0
2020-04-22,2.0
2020-04-23,2.0
2020-04-24,2.0
2020-04-25,2.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,2.0
2020-05-14,2.0
2020-05-15,2.0
2020-05-16,2.0
2020-05-17,2.0
2020-05-18,2.0
2020-05-19,2.0
2020-05-20,2.0
2020-05-21,2.0
2020-05-22,2.0
2020-05-23,2.0
2020-05-24,2.0
2020-05-25,2.0
2020-05-26,2.0
2020-05-27,2.0
2020-05-28,3.0
2020-05-29,3.0
2020-05-30,3.0
2020-05-31,3.0
2020-06-01,3.0
2020-06-02,3.0
2020-06-03,3.0
2020-06-04,4.0
2020-06-05,4.0
2020-06-06,4.0
2020-06-07,4.0
2020-06-08,4.0
2020-06-09,4.0
2020-06-10,5.0
2020-06-11,7.0
2020-06-12,7.0
2020-06-13,7.0
2020-06-14,7.0
2020-06-15,7.0
2020-06-16,7.0
2020-06-17,7.0
2020-06-18,7.0
2020-06-19,7.0
2020-06-20,7.0
2020-06-21,7.0
2020-06-22,7.0
2020-06-23,7.0
2020-06-24,7.0
2020-06-25,7.0
2020-06-26,7.0
2020-06-27,11.0
2020-06-28,11.0
2020-06-29,11.0
2020-06-30,11.0
2020-07-01,11.0
2020-07-02,12.0
2020-07-03,12.0
2020-07-04,12.0
2020-07-05,13.0
2020-07-06,13.0
