Data,NEPBRSOA25009
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,2.0
2020-05-14,2.0
2020-05-15,2.0
2020-05-16,2.0
2020-05-17,2.0
2020-05-18,2.0
2020-05-19,2.0
2020-05-20,3.0
2020-05-21,5.0
2020-05-22,5.0
2020-05-23,7.0
2020-05-24,8.0
2020-05-25,8.0
2020-05-26,8.0
2020-05-27,8.0
2020-05-28,8.0
2020-05-29,8.0
2020-05-30,8.0
2020-05-31,8.0
2020-06-01,8.0
2020-06-02,8.0
2020-06-03,8.0
2020-06-04,8.0
2020-06-05,8.0
2020-06-06,8.0
2020-06-07,8.0
2020-06-08,8.0
2020-06-09,9.0
2020-06-10,9.0
2020-06-11,9.0
2020-06-12,10.0
2020-06-13,10.0
2020-06-14,10.0
2020-06-15,10.0
2020-06-16,10.0
2020-06-17,10.0
2020-06-18,10.0
2020-06-19,14.0
2020-06-20,14.0
2020-06-21,15.0
2020-06-22,16.0
2020-06-23,16.0
2020-06-24,17.0
2020-06-25,17.0
2020-06-26,18.0
2020-06-27,19.0
2020-06-28,20.0
2020-06-29,20.0
2020-06-30,21.0
2020-07-01,21.0
2020-07-02,21.0
2020-07-03,21.0
2020-07-04,21.0
2020-07-05,21.0
2020-07-06,22.0
2020-07-07,24.0
2020-07-08,26.0
2020-07-09,26.0
2020-07-10,26.0
2020-07-11,28.0
2020-07-12,28.0
2020-07-13,28.0
2020-07-14,29.0
2020-07-15,30.0
2020-07-16,30.0
2020-07-17,31.0
2020-07-18,31.0
2020-07-19,31.0
