Data,NEPERSCA26005
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,5.0
2020-04-08,5.0
2020-04-09,7.0
2020-04-10,7.0
2020-04-11,8.0
2020-04-12,10.0
2020-04-13,10.0
2020-04-14,10.0
2020-04-15,10.0
2020-04-16,14.0
2020-04-17,17.0
2020-04-18,17.0
2020-04-19,18.0
2020-04-20,19.0
2020-04-21,21.0
2020-04-22,24.0
2020-04-23,27.0
2020-04-24,29.0
2020-04-25,37.0
2020-04-26,51.0
2020-04-27,55.0
2020-04-28,57.0
2020-04-29,64.0
2020-04-30,70.0
2020-05-01,73.0
2020-05-02,86.0
2020-05-03,94.0
2020-05-04,97.0
2020-05-05,101.0
2020-05-06,106.0
2020-05-07,131.0
2020-05-08,140.0
2020-05-09,147.0
2020-05-10,177.0
2020-05-11,189.0
2020-05-12,198.0
2020-05-13,214.0
2020-05-14,222.0
2020-05-15,229.0
2020-05-16,305.0
2020-05-17,350.0
2020-05-18,364.0
2020-05-19,384.0
2020-05-20,423.0
2020-05-21,485.0
2020-05-22,521.0
2020-05-23,576.0
2020-05-24,603.0
2020-05-25,631.0
2020-05-26,637.0
2020-05-27,743.0
2020-05-28,815.0
2020-05-29,947.0
2020-05-30,995.0
2020-05-31,1034.0
2020-06-01,1050.0
2020-06-02,1074.0
2020-06-03,1102.0
2020-06-04,1172.0
2020-06-05,1224.0
2020-06-06,1285.0
2020-06-07,1333.0
2020-06-08,1349.0
2020-06-09,1363.0
2020-06-10,1423.0
2020-06-11,1484.0
2020-06-12,1538.0
2020-06-13,1585.0
2020-06-14,1616.0
2020-06-15,1627.0
2020-06-16,1675.0
