Data,NECERSCA23010
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,2.0
2020-04-06,3.0
2020-04-07,4.0
2020-04-08,4.0
2020-04-09,4.0
2020-04-10,8.0
2020-04-11,10.0
2020-04-12,11.0
2020-04-13,12.0
2020-04-14,13.0
2020-04-15,15.0
2020-04-16,15.0
2020-04-17,17.0
2020-04-18,17.0
2020-04-19,24.0
2020-04-20,24.0
2020-04-21,26.0
2020-04-22,29.0
2020-04-23,35.0
2020-04-24,45.0
2020-04-25,42.0
2020-04-26,43.0
2020-04-27,48.0
2020-04-28,52.0
2020-04-29,66.0
2020-04-30,66.0
2020-05-01,67.0
2020-05-02,68.0
2020-05-03,67.0
2020-05-04,77.0
2020-05-05,81.0
2020-05-06,85.0
2020-05-07,110.0
2020-05-08,114.0
2020-05-09,115.0
2020-05-10,121.0
2020-05-11,136.0
2020-05-12,153.0
2020-05-13,159.0
2020-05-14,185.0
2020-05-15,221.0
2020-05-16,229.0
2020-05-17,243.0
2020-05-18,278.0
2020-05-19,288.0
2020-05-20,343.0
2020-05-21,345.0
2020-05-22,411.0
2020-05-23,415.0
2020-05-24,421.0
2020-05-25,424.0
2020-05-26,424.0
2020-05-27,427.0
2020-05-28,429.0
2020-05-29,430.0
2020-05-30,694.0
2020-05-31,712.0
2020-06-01,748.0
2020-06-02,770.0
2020-06-03,812.0
2020-06-04,938.0
2020-06-05,988.0
2020-06-06,1052.0
2020-06-07,1059.0
2020-06-08,1061.0
2020-06-09,1087.0
2020-06-10,1119.0
2020-06-11,1186.0
2020-06-12,1197.0
2020-06-13,1202.0
2020-06-14,1206.0
2020-06-15,1271.0
2020-06-16,1338.0
2020-06-17,1419.0
2020-06-18,1496.0
2020-06-19,1534.0
2020-06-20,1601.0
2020-06-21,1605.0
2020-06-22,1638.0
