Data,OAPiI_An
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,2.0
2020-03-30,6.0
2020-03-31,8.0
2020-04-01,8.0
2020-04-02,8.0
2020-04-03,8.0
2020-04-04,8.0
2020-04-05,8.0
2020-04-06,8.0
2020-04-07,8.0
2020-04-08,10.0
2020-04-09,12.0
2020-04-10,14.0
2020-04-11,14.0
2020-04-12,14.0
2020-04-13,16.0
2020-04-14,16.0
2020-04-15,16.0
2020-04-16,16.0
2020-04-17,16.0
2020-04-18,18.0
2020-04-19,20.0
2020-04-20,24.0
2020-04-21,28.0
2020-04-22,30.0
2020-04-23,30.0
2020-04-24,32.0
2020-04-25,34.0
2020-04-26,36.0
2020-04-27,40.0
2020-04-28,43.0
2020-04-29,48.0
2020-04-30,48.0
2020-05-01,48.0
2020-05-02,52.0
2020-05-03,56.0
2020-05-04,56.0
2020-05-05,58.0
2020-05-06,60.0
2020-05-07,70.0
2020-05-08,74.0
2020-05-09,76.0
2020-05-10,84.0
2020-05-11,90.0
2020-05-12,98.0
2020-05-13,114.0
2020-05-14,120.0
2020-05-15,120.0
2020-05-16,130.0
2020-05-17,144.0
2020-05-18,160.0
2020-05-19,170.0
2020-05-20,174.0
2020-05-21,91.0
2020-05-22,93.0
2020-05-23,99.0
2020-05-24,214.0
