Data,NESERSOA28007
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,2.0
2020-05-09,4.0
2020-05-10,4.0
2020-05-11,4.0
2020-05-12,3.0
2020-05-13,3.0
2020-05-14,3.0
2020-05-15,3.0
2020-05-16,3.0
2020-05-17,3.0
2020-05-18,3.0
2020-05-19,3.0
2020-05-20,4.0
2020-05-21,4.0
2020-05-22,4.0
2020-05-23,4.0
2020-05-24,4.0
2020-05-25,4.0
2020-05-26,5.0
2020-05-27,5.0
2020-05-28,5.0
2020-05-29,5.0
2020-05-30,6.0
2020-05-31,6.0
2020-06-01,6.0
2020-06-02,6.0
2020-06-03,7.0
2020-06-04,7.0
2020-06-05,7.0
2020-06-06,7.0
2020-06-07,7.0
2020-06-08,8.0
2020-06-09,8.0
2020-06-10,8.0
2020-06-11,10.0
2020-06-12,10.0
2020-06-13,11.0
2020-06-14,13.0
2020-06-15,13.0
2020-06-16,14.0
2020-06-17,15.0
2020-06-18,16.0
2020-06-19,16.0
2020-06-20,16.0
2020-06-21,16.0
2020-06-22,19.0
2020-06-23,19.0
2020-06-24,19.0
2020-06-25,23.0
2020-06-26,25.0
2020-06-27,27.0
2020-06-28,27.0
2020-06-29,30.0
2020-06-30,32.0
2020-07-01,31.0
2020-07-02,35.0
2020-07-03,39.0
2020-07-04,40.0
2020-07-05,41.0
2020-07-06,42.0
2020-07-07,42.0
2020-07-08,46.0
2020-07-09,49.0
2020-07-10,50.0
2020-07-11,51.0
2020-07-12,52.0
2020-07-13,56.0
2020-07-14,56.0
2020-07-15,59.0
2020-07-16,60.0
2020-07-17,61.0
2020-07-18,64.0
2020-07-19,64.0
2020-07-20,67.0
2020-07-21,69.0
2020-07-22,73.0
