Data,NECERSOA23003
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,3.0
2020-04-14,3.0
2020-04-15,6.0
2020-04-16,6.0
2020-04-17,6.0
2020-04-18,7.0
2020-04-19,8.0
2020-04-20,8.0
2020-04-21,8.0
2020-04-22,9.0
2020-04-23,10.0
2020-04-24,13.0
2020-04-25,13.0
2020-04-26,15.0
2020-04-27,20.0
2020-04-28,21.0
2020-04-29,23.0
2020-04-30,26.0
2020-05-01,28.0
2020-05-02,32.0
2020-05-03,33.0
2020-05-04,36.0
2020-05-05,47.0
2020-05-06,52.0
2020-05-07,55.0
2020-05-08,56.0
2020-05-09,70.0
2020-05-10,73.0
2020-05-11,77.0
2020-05-12,85.0
2020-05-13,90.0
2020-05-14,93.0
2020-05-15,94.0
2020-05-16,110.0
2020-05-17,118.0
2020-05-18,121.0
2020-05-19,128.0
2020-05-20,132.0
2020-05-21,144.0
2020-05-22,153.0
2020-05-23,166.0
2020-05-24,168.0
2020-05-25,178.0
2020-05-26,183.0
2020-05-27,189.0
2020-05-28,191.0
2020-05-29,205.0
2020-05-30,212.0
2020-05-31,219.0
2020-06-01,232.0
2020-06-02,243.0
2020-06-03,252.0
2020-06-04,271.0
2020-06-05,282.0
2020-06-06,293.0
2020-06-07,295.0
2020-06-08,300.0
2020-06-09,315.0
2020-06-10,321.0
2020-06-11,341.0
2020-06-12,348.0
2020-06-13,350.0
2020-06-14,358.0
2020-06-15,371.0
