Data,NEPBRSCA25014
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,1.0
2020-04-24,2.0
2020-04-25,3.0
2020-04-26,3.0
2020-04-27,3.0
2020-04-28,3.0
2020-04-29,3.0
2020-04-30,3.0
2020-05-01,8.0
2020-05-02,9.0
2020-05-03,8.0
2020-05-04,8.0
2020-05-05,12.0
2020-05-06,15.0
2020-05-07,17.0
2020-05-08,28.0
2020-05-09,28.0
2020-05-10,29.0
2020-05-11,35.0
2020-05-12,38.0
2020-05-13,44.0
2020-05-14,56.0
2020-05-15,68.0
2020-05-16,80.0
2020-05-17,80.0
2020-05-18,97.0
2020-05-19,104.0
2020-05-20,125.0
2020-05-21,133.0
2020-05-22,152.0
2020-05-23,165.0
2020-05-24,174.0
2020-05-25,175.0
2020-05-26,236.0
2020-05-27,275.0
2020-05-28,297.0
2020-05-29,335.0
2020-05-30,366.0
2020-05-31,384.0
2020-06-01,394.0
2020-06-02,413.0
2020-06-03,478.0
2020-06-04,520.0
2020-06-05,558.0
2020-06-06,604.0
2020-06-07,682.0
2020-06-08,687.0
2020-06-09,731.0
2020-06-10,816.0
2020-06-11,925.0
2020-06-12,957.0
2020-06-13,996.0
2020-06-14,1094.0
2020-06-15,1098.0
2020-06-16,1169.0
2020-06-17,1338.0
2020-06-18,1339.0
2020-06-19,1564.0
2020-06-20,1692.0
2020-06-21,1719.0
2020-06-22,1731.0
2020-06-23,1886.0
2020-06-24,2021.0
2020-06-25,2032.0
2020-06-26,2154.0
2020-06-27,2215.0
2020-06-28,2264.0
2020-06-29,2276.0
2020-06-30,2376.0
2020-07-01,2526.0
2020-07-02,2594.0
2020-07-03,2765.0
2020-07-04,2875.0
2020-07-05,2897.0
2020-07-06,2925.0
2020-07-07,2971.0
2020-07-08,3154.0
2020-07-09,3294.0
2020-07-10,3414.0
2020-07-11,3564.0
2020-07-12,3569.0
2020-07-13,3621.0
2020-07-14,3682.0
2020-07-15,3766.0
2020-07-16,3925.0
2020-07-17,3947.0
2020-07-18,3964.0
2020-07-19,3967.0
2020-07-20,4042.0
2020-07-21,4164.0
2020-07-22,4364.0
2020-07-23,4470.0
2020-07-24,4564.0
2020-07-25,4658.0
2020-07-26,4676.0
2020-07-27,4695.0
2020-07-28,4761.0
2020-07-29,4842.0
2020-07-30,4936.0
2020-07-31,5026.0
2020-08-01,5047.0
2020-08-02,5062.0
2020-08-03,5099.0
2020-08-04,5188.0
2020-08-05,5261.0
2020-08-06,5289.0
2020-08-07,5354.0
2020-08-08,5423.0
2020-08-09,5436.0
2020-08-10,5442.0
2020-08-11,5492.0
2020-08-12,5524.0
2020-08-13,5561.0
2020-08-14,5584.0
2020-08-15,5629.0
2020-08-16,5648.0
2020-08-17,5658.0
2020-08-18,5708.0
2020-08-19,5796.0
