Data,SUPRRSCA41004
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,3.0
2020-05-11,3.0
2020-05-12,3.0
2020-05-13,4.0
2020-05-14,10.0
2020-05-15,15.0
2020-05-16,16.0
2020-05-17,17.0
2020-05-18,19.0
2020-05-19,25.0
2020-05-20,25.0
2020-05-21,27.0
2020-05-22,30.0
2020-05-23,30.0
2020-05-24,31.0
2020-05-25,31.0
2020-05-26,32.0
2020-05-27,32.0
2020-05-28,32.0
2020-05-29,35.0
2020-05-30,37.0
2020-05-31,38.0
2020-06-01,38.0
2020-06-02,42.0
2020-06-03,44.0
2020-06-04,45.0
2020-06-05,46.0
2020-06-06,47.0
2020-06-07,47.0
2020-06-08,50.0
2020-06-09,50.0
2020-06-10,52.0
2020-06-11,54.0
2020-06-12,54.0
2020-06-13,58.0
2020-06-14,59.0
2020-06-15,59.0
2020-06-16,63.0
2020-06-17,69.0
2020-06-18,68.0
2020-06-19,72.0
2020-06-20,73.0
2020-06-21,76.0
2020-06-22,77.0
2020-06-23,79.0
