Data,NECERSOA23004
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,3.0
2020-05-02,4.0
2020-05-03,5.0
2020-05-04,6.0
2020-05-05,7.0
2020-05-06,7.0
2020-05-07,7.0
2020-05-08,7.0
2020-05-09,7.0
2020-05-10,7.0
2020-05-11,7.0
2020-05-12,8.0
2020-05-13,9.0
2020-05-14,9.0
2020-05-15,9.0
2020-05-16,9.0
2020-05-17,9.0
2020-05-18,9.0
2020-05-19,9.0
2020-05-20,10.0
2020-05-21,11.0
2020-05-22,14.0
2020-05-23,14.0
2020-05-24,14.0
2020-05-25,13.0
2020-05-26,13.0
2020-05-27,13.0
2020-05-28,15.0
2020-05-29,18.0
2020-05-30,18.0
2020-05-31,18.0
2020-06-01,19.0
2020-06-02,19.0
2020-06-03,22.0
2020-06-04,22.0
2020-06-05,25.0
2020-06-06,25.0
2020-06-07,27.0
2020-06-08,27.0
2020-06-09,27.0
2020-06-10,32.0
2020-06-11,34.0
2020-06-12,36.0
2020-06-13,36.0
2020-06-14,36.0
2020-06-15,36.0
2020-06-16,41.0
2020-06-17,42.0
2020-06-18,42.0
2020-06-19,46.0
2020-06-20,45.0
2020-06-21,46.0
2020-06-22,47.0
2020-06-23,47.0
2020-06-24,49.0
2020-06-25,49.0
2020-06-26,49.0
2020-06-27,51.0
2020-06-28,51.0
2020-06-29,51.0
2020-06-30,53.0
2020-07-01,53.0
2020-07-02,56.0
2020-07-03,58.0
2020-07-04,59.0
2020-07-05,61.0
2020-07-06,62.0
2020-07-07,62.0
2020-07-08,63.0
