Data,COMSRSCA50001
2020-03-27,0.0
2020-03-28,28.0
2020-03-29,31.0
2020-03-30,38.0
2020-03-31,40.0
2020-04-01,41.0
2020-04-02,41.0
2020-04-03,46.0
2020-04-04,46.0
2020-04-05,47.0
2020-04-06,48.0
2020-04-07,54.0
2020-04-08,54.0
2020-04-09,56.0
2020-04-10,63.0
2020-04-11,65.0
2020-04-12,65.0
2020-04-13,74.0
2020-04-14,74.0
2020-04-15,80.0
2020-04-16,89.0
2020-04-17,92.0
2020-04-18,107.0
2020-04-19,112.0
2020-04-20,114.0
2020-04-21,116.0
2020-04-22,117.0
2020-04-23,122.0
2020-04-24,134.0
2020-04-25,136.0
2020-04-26,151.0
2020-04-27,152.0
2020-04-28,154.0
2020-04-29,154.0
2020-04-30,156.0
2020-05-01,162.0
2020-05-02,165.0
2020-05-03,168.0
2020-05-04,168.0
2020-05-05,172.0
2020-05-06,173.0
2020-05-07,187.0
2020-05-08,201.0
2020-05-09,215.0
2020-05-10,226.0
2020-05-11,244.0
2020-05-12,259.0
2020-05-13,273.0
2020-05-14,287.0
2020-05-15,302.0
2020-05-16,311.0
2020-05-17,356.0
2020-05-18,372.0
2020-05-19,384.0
2020-05-20,406.0
2020-05-21,433.0
2020-05-22,457.0
2020-05-23,500.0
2020-05-24,518.0
2020-05-25,545.0
2020-05-26,567.0
2020-05-27,600.0
2020-05-28,629.0
2020-05-29,645.0
2020-05-30,659.0
2020-05-31,673.0
2020-06-01,696.0
2020-06-02,709.0
2020-06-03,731.0
2020-06-04,751.0
2020-06-05,765.0
2020-06-06,798.0
2020-06-07,813.0
2020-06-08,829.0
2020-06-09,864.0
2020-06-10,888.0
2020-06-11,1025.0
2020-06-12,1080.0
2020-06-13,1148.0
2020-06-14,1194.0
2020-06-15,1235.0
2020-06-16,1335.0
2020-06-17,1452.0
2020-06-18,1477.0
2020-06-19,1613.0
2020-06-20,1752.0
2020-06-21,1847.0
2020-06-22,1936.0
2020-06-23,2102.0
2020-06-24,2241.0
2020-06-25,2385.0
2020-06-26,2561.0
