Data,COGORSOA52001
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,2.0
2020-04-06,4.0
2020-04-07,4.0
2020-04-08,4.0
2020-04-09,4.0
2020-04-10,5.0
2020-04-11,5.0
2020-04-12,7.0
2020-04-13,7.0
2020-04-14,7.0
2020-04-15,7.0
2020-04-16,8.0
2020-04-17,8.0
2020-04-18,10.0
2020-04-19,10.0
2020-04-20,10.0
2020-04-21,10.0
2020-04-22,10.0
2020-04-23,11.0
2020-04-24,11.0
2020-04-25,11.0
2020-04-26,11.0
2020-04-27,12.0
2020-04-28,12.0
2020-04-29,12.0
2020-04-30,12.0
2020-05-01,12.0
2020-05-02,12.0
2020-05-03,12.0
2020-05-04,12.0
2020-05-05,14.0
2020-05-06,21.0
2020-05-07,21.0
2020-05-08,23.0
2020-05-09,25.0
2020-05-10,22.0
2020-05-11,23.0
2020-05-12,24.0
2020-05-13,28.0
2020-05-14,31.0
2020-05-15,31.0
2020-05-16,32.0
2020-05-17,32.0
2020-05-18,32.0
2020-05-19,32.0
2020-05-20,36.0
2020-05-21,38.0
2020-05-22,42.0
2020-05-23,43.0
2020-05-24,43.0
2020-05-25,43.0
2020-05-26,46.0
2020-05-27,47.0
2020-05-28,52.0
2020-05-29,54.0
2020-05-30,56.0
2020-05-31,56.0
2020-06-01,57.0
2020-06-02,68.0
2020-06-03,70.0
2020-06-04,76.0
2020-06-05,77.0
2020-06-06,80.0
2020-06-07,80.0
2020-06-08,80.0
2020-06-09,85.0
2020-06-10,88.0
2020-06-11,88.0
2020-06-12,89.0
2020-06-13,94.0
2020-06-14,96.0
2020-06-15,99.0
2020-06-16,104.0
2020-06-17,103.0
2020-06-18,109.0
2020-06-19,113.0
2020-06-20,120.0
2020-06-21,122.0
2020-06-22,126.0
2020-06-23,135.0
2020-06-24,143.0
2020-06-25,151.0
2020-06-26,158.0
2020-06-27,167.0
2020-06-28,171.0
2020-06-29,171.0
2020-06-30,181.0
2020-07-01,187.0
2020-07-02,200.0
2020-07-03,218.0
2020-07-04,228.0
2020-07-05,228.0
2020-07-06,237.0
2020-07-07,260.0
2020-07-08,273.0
2020-07-09,282.0
2020-07-10,293.0
2020-07-11,306.0
2020-07-12,307.0
2020-07-13,307.0
2020-07-14,312.0
2020-07-15,318.0
2020-07-16,335.0
