Data,NEMARSOA21014
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,2.0
2020-05-09,3.0
2020-05-10,3.0
2020-05-11,4.0
2020-05-12,4.0
2020-05-13,4.0
2020-05-14,4.0
2020-05-15,4.0
2020-05-16,5.0
2020-05-17,5.0
2020-05-18,5.0
2020-05-19,6.0
2020-05-20,6.0
2020-05-21,6.0
2020-05-22,6.0
2020-05-23,6.0
2020-05-24,7.0
2020-05-25,7.0
2020-05-26,7.0
2020-05-27,7.0
2020-05-28,8.0
2020-05-29,9.0
2020-05-30,11.0
2020-05-31,12.0
2020-06-01,17.0
2020-06-02,20.0
2020-06-03,22.0
2020-06-04,28.0
2020-06-05,29.0
2020-06-06,34.0
2020-06-07,39.0
2020-06-08,49.0
2020-06-09,49.0
2020-06-10,49.0
2020-06-11,51.0
2020-06-12,51.0
2020-06-13,55.0
2020-06-14,61.0
2020-06-15,62.0
2020-06-16,64.0
2020-06-17,65.0
2020-06-18,65.0
2020-06-19,65.0
2020-06-20,66.0
2020-06-21,66.0
2020-06-22,67.0
2020-06-23,68.0
2020-06-24,77.0
2020-06-25,78.0
