Data,SUPRRSOA41020
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,3.0
2020-05-09,3.0
2020-05-10,3.0
2020-05-11,3.0
2020-05-12,3.0
2020-05-13,3.0
2020-05-14,3.0
2020-05-15,3.0
2020-05-16,3.0
2020-05-17,3.0
2020-05-18,3.0
2020-05-19,3.0
2020-05-20,3.0
2020-05-21,3.0
2020-05-22,3.0
2020-05-23,3.0
2020-05-24,3.0
2020-05-25,3.0
2020-05-26,3.0
2020-05-27,3.0
2020-05-28,3.0
2020-05-29,3.0
2020-05-30,3.0
2020-05-31,3.0
2020-06-01,5.0
2020-06-02,5.0
2020-06-03,5.0
2020-06-04,6.0
2020-06-05,7.0
2020-06-06,8.0
2020-06-07,8.0
2020-06-08,8.0
2020-06-09,8.0
2020-06-10,8.0
2020-06-11,8.0
2020-06-12,8.0
2020-06-13,8.0
2020-06-14,8.0
2020-06-15,9.0
2020-06-16,9.0
2020-06-17,9.0
2020-06-18,10.0
2020-06-19,11.0
2020-06-20,11.0
2020-06-21,11.0
2020-06-22,11.0
2020-06-23,13.0
2020-06-24,13.0
2020-06-25,16.0
2020-06-26,16.0
2020-06-27,16.0
2020-06-28,17.0
2020-06-29,17.0
2020-06-30,20.0
2020-07-01,23.0
2020-07-02,25.0
2020-07-03,25.0
2020-07-04,25.0
2020-07-05,26.0
2020-07-06,28.0
2020-07-07,31.0
2020-07-08,31.0
2020-07-09,31.0
2020-07-10,31.0
2020-07-11,32.0
2020-07-12,33.0
2020-07-13,33.0
2020-07-14,35.0
2020-07-15,37.0
2020-07-16,37.0
