Data,NEPBRSCA25009
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,2.0
2020-04-22,4.0
2020-04-23,4.0
2020-04-24,7.0
2020-04-25,8.0
2020-04-26,9.0
2020-04-27,9.0
2020-04-28,10.0
2020-04-29,11.0
2020-04-30,13.0
2020-05-01,16.0
2020-05-02,31.0
2020-05-03,19.0
2020-05-04,19.0
2020-05-05,22.0
2020-05-06,23.0
2020-05-07,24.0
2020-05-08,28.0
2020-05-09,29.0
2020-05-10,30.0
2020-05-11,31.0
2020-05-12,34.0
2020-05-13,37.0
2020-05-14,40.0
2020-05-15,43.0
2020-05-16,44.0
2020-05-17,44.0
2020-05-18,44.0
2020-05-19,51.0
2020-05-20,58.0
2020-05-21,61.0
2020-05-22,68.0
2020-05-23,70.0
2020-05-24,65.0
2020-05-25,66.0
2020-05-26,74.0
2020-05-27,82.0
2020-05-28,95.0
2020-05-29,102.0
2020-05-30,114.0
2020-05-31,121.0
2020-06-01,128.0
2020-06-02,141.0
2020-06-03,159.0
2020-06-04,167.0
2020-06-05,175.0
2020-06-06,189.0
2020-06-07,190.0
2020-06-08,195.0
2020-06-09,227.0
2020-06-10,258.0
2020-06-11,277.0
2020-06-12,287.0
2020-06-13,308.0
2020-06-14,306.0
2020-06-15,319.0
2020-06-16,352.0
2020-06-17,380.0
2020-06-18,380.0
2020-06-19,419.0
2020-06-20,457.0
2020-06-21,472.0
2020-06-22,479.0
2020-06-23,534.0
2020-06-24,558.0
2020-06-25,574.0
2020-06-26,607.0
2020-06-27,644.0
2020-06-28,650.0
2020-06-29,660.0
2020-06-30,707.0
2020-07-01,758.0
2020-07-02,814.0
2020-07-03,844.0
2020-07-04,883.0
2020-07-05,907.0
2020-07-06,917.0
2020-07-07,972.0
2020-07-08,1010.0
2020-07-09,1054.0
2020-07-10,1086.0
2020-07-11,1123.0
2020-07-12,1144.0
2020-07-13,1156.0
2020-07-14,1211.0
2020-07-15,1260.0
