Data,NORORSOA11001
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,1.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,2.0
2020-05-14,4.0
2020-05-15,3.0
2020-05-16,4.0
2020-05-17,5.0
2020-05-18,5.0
2020-05-19,5.0
2020-05-20,6.0
2020-05-21,6.0
2020-05-22,7.0
2020-05-23,7.0
2020-05-24,7.0
2020-05-25,7.0
2020-05-26,8.0
2020-05-27,8.0
2020-05-28,8.0
2020-05-29,7.0
2020-05-30,8.0
2020-05-31,9.0
2020-06-01,9.0
2020-06-02,10.0
2020-06-03,10.0
2020-06-04,10.0
2020-06-05,10.0
2020-06-06,10.0
2020-06-07,10.0
2020-06-08,11.0
2020-06-09,13.0
2020-06-10,13.0
2020-06-11,15.0
2020-06-12,15.0
2020-06-13,16.0
2020-06-14,19.0
2020-06-15,19.0
2020-06-16,22.0
2020-06-17,23.0
2020-06-18,24.0
2020-06-19,27.0
2020-06-20,27.0
2020-06-21,29.0
2020-06-22,28.0
2020-06-23,29.0
2020-06-24,30.0
2020-06-25,30.0
2020-06-26,31.0
2020-06-27,31.0
2020-06-28,31.0
2020-06-29,32.0
2020-06-30,34.0
2020-07-01,34.0
2020-07-02,36.0
2020-07-03,36.0
2020-07-04,36.0
2020-07-05,36.0
