Data,NESERSOA28002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,2.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,3.0
2020-05-13,4.0
2020-05-14,4.0
2020-05-15,4.0
2020-05-16,4.0
2020-05-17,4.0
2020-05-18,5.0
2020-05-19,5.0
2020-05-20,6.0
2020-05-21,8.0
2020-05-22,8.0
2020-05-23,8.0
2020-05-24,9.0
2020-05-25,11.0
2020-05-26,12.0
2020-05-27,14.0
2020-05-28,14.0
2020-05-29,14.0
2020-05-30,14.0
2020-05-31,15.0
2020-06-01,16.0
2020-06-02,16.0
2020-06-03,17.0
2020-06-04,18.0
2020-06-05,19.0
2020-06-06,20.0
2020-06-07,21.0
2020-06-08,21.0
2020-06-09,22.0
2020-06-10,22.0
2020-06-11,22.0
2020-06-12,25.0
2020-06-13,26.0
2020-06-14,26.0
2020-06-15,28.0
2020-06-16,29.0
2020-06-17,32.0
2020-06-18,35.0
2020-06-19,36.0
2020-06-20,38.0
2020-06-21,38.0
2020-06-22,39.0
2020-06-23,40.0
2020-06-24,42.0
2020-06-25,45.0
2020-06-26,50.0
2020-06-27,53.0
2020-06-28,54.0
2020-06-29,59.0
2020-06-30,61.0
2020-07-01,62.0
2020-07-02,64.0
2020-07-03,65.0
2020-07-04,67.0
2020-07-05,70.0
2020-07-06,71.0
2020-07-07,73.0
