Data,CAAiC_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,3.0
2020-03-20,7.0
2020-03-21,9.0
2020-03-22,11.0
2020-03-23,11.0
2020-03-24,17.0
2020-03-25,23.0
2020-03-26,24.0
2020-03-27,25.0
2020-03-28,25.0
2020-03-29,34.0
2020-03-30,42.0
2020-03-31,42.0
2020-04-01,43.0
2020-04-02,43.0
2020-04-03,46.0
2020-04-04,46.0
2020-04-05,48.0
2020-04-06,50.0
2020-04-07,50.0
2020-04-08,54.0
2020-04-09,62.0
2020-04-10,70.0
2020-04-11,72.0
2020-04-12,77.0
2020-04-13,90.0
2020-04-14,99.0
2020-04-15,101.0
2020-04-16,110.0
2020-04-17,135.0
2020-04-18,142.0
2020-04-19,163.0
2020-04-20,176.0
2020-04-21,195.0
2020-04-22,214.0
2020-04-23,227.0
2020-04-24,234.0
2020-04-25,258.0
2020-04-26,279.0
2020-04-27,279.0
2020-04-28,311.0
2020-04-29,354.0
2020-04-30,404.0
2020-05-01,486.0
2020-05-02,553.0
2020-05-03,657.0
2020-05-04,733.0
2020-05-05,817.0
2020-05-06,943.0
2020-05-07,1014.0
2020-05-08,1177.0
2020-05-09,1335.0
2020-05-10,1447.0
2020-05-11,1460.0
2020-05-12,1590.0
2020-05-13,1694.0
2020-05-14,1740.0
2020-05-15,1785.0
2020-05-16,1867.0
2020-05-17,1997.0
2020-05-18,2234.0
2020-05-19,2482.0
2020-05-20,2817.0
2020-05-21,3103.0
2020-05-22,3343.0
2020-05-23,3867.0
2020-05-24,4160.0
2020-05-25,4501.0
2020-05-26,4781.0
2020-05-27,5251.0
2020-05-28,5600.0
2020-05-29,5841.0
2020-05-30,6072.0
2020-05-31,6219.0
2020-06-01,6326.0
2020-06-02,6465.0
2020-06-03,6679.0
2020-06-04,7021.0
2020-06-05,7284.0
2020-06-06,7525.0
2020-06-07,7983.0
2020-06-08,8128.0
2020-06-09,8457.0
2020-06-10,8746.0
2020-06-11,9091.0
2020-06-12,9295.0
2020-06-13,9534.0
2020-06-14,9642.0
