Data,NECERSOA23005
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,4.0
2020-05-08,5.0
2020-05-09,6.0
2020-05-10,7.0
2020-05-11,7.0
2020-05-12,8.0
2020-05-13,11.0
2020-05-14,11.0
2020-05-15,11.0
2020-05-16,10.0
2020-05-17,10.0
2020-05-18,10.0
2020-05-19,11.0
2020-05-20,12.0
2020-05-21,12.0
2020-05-22,17.0
2020-05-23,17.0
2020-05-24,17.0
2020-05-25,23.0
2020-05-26,28.0
2020-05-27,30.0
2020-05-28,30.0
2020-05-29,30.0
2020-05-30,34.0
2020-05-31,34.0
2020-06-01,37.0
2020-06-02,37.0
2020-06-03,41.0
2020-06-04,43.0
2020-06-05,44.0
2020-06-06,43.0
2020-06-07,43.0
2020-06-08,47.0
2020-06-09,51.0
2020-06-10,56.0
2020-06-11,58.0
2020-06-12,59.0
2020-06-13,59.0
2020-06-14,61.0
2020-06-15,62.0
2020-06-16,62.0
2020-06-17,63.0
2020-06-18,64.0
2020-06-19,68.0
2020-06-20,72.0
2020-06-21,72.0
2020-06-22,74.0
2020-06-23,73.0
2020-06-24,79.0
2020-06-25,79.0
2020-06-26,81.0
2020-06-27,82.0
2020-06-28,82.0
2020-06-29,86.0
2020-06-30,87.0
2020-07-01,88.0
2020-07-02,90.0
2020-07-03,94.0
2020-07-04,94.0
2020-07-05,95.0
2020-07-06,97.0
2020-07-07,100.0
2020-07-08,102.0
2020-07-09,104.0
2020-07-10,104.0
2020-07-11,107.0
2020-07-12,107.0
2020-07-13,107.0
2020-07-14,109.0
2020-07-15,109.0
2020-07-16,109.0
2020-07-17,110.0
2020-07-18,110.0
2020-07-19,110.0
2020-07-20,110.0
2020-07-21,115.0
2020-07-22,115.0
2020-07-23,117.0
