Data,SEESRSOA32001
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,1.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,2.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,3.0
2020-05-02,3.0
2020-05-03,3.0
2020-05-04,3.0
2020-05-05,4.0
2020-05-06,4.0
2020-05-07,4.0
2020-05-08,4.0
2020-05-09,5.0
2020-05-10,5.0
2020-05-11,6.0
2020-05-12,7.0
2020-05-13,8.0
2020-05-14,8.0
2020-05-15,10.0
2020-05-16,11.0
2020-05-17,13.0
2020-05-18,13.0
2020-05-19,13.0
2020-05-20,14.0
2020-05-21,16.0
2020-05-22,20.0
2020-05-23,22.0
2020-05-24,22.0
2020-05-25,24.0
2020-05-26,26.0
2020-05-27,28.0
2020-05-28,28.0
2020-05-29,33.0
2020-05-30,35.0
2020-05-31,36.0
2020-06-01,37.0
2020-06-02,40.0
2020-06-03,42.0
2020-06-04,44.0
2020-06-05,47.0
2020-06-06,47.0
2020-06-07,48.0
2020-06-08,52.0
2020-06-09,55.0
2020-06-10,63.0
2020-06-11,65.0
2020-06-12,67.0
2020-06-13,70.0
2020-06-14,73.0
2020-06-15,76.0
2020-06-16,84.0
2020-06-17,88.0
2020-06-18,91.0
2020-06-19,96.0
2020-06-20,98.0
2020-06-21,100.0
2020-06-22,103.0
2020-06-23,113.0
2020-06-24,119.0
2020-06-25,124.0
2020-06-26,125.0
2020-06-27,125.0
2020-06-28,136.0
2020-06-29,145.0
2020-06-30,156.0
2020-07-01,164.0
2020-07-02,168.0
2020-07-03,170.0
2020-07-04,172.0
2020-07-05,176.0
2020-07-06,181.0
2020-07-07,185.0
2020-07-08,193.0
2020-07-09,197.0
2020-07-10,201.0
2020-07-11,203.0
2020-07-12,205.0
2020-07-13,215.0
2020-07-14,227.0
2020-07-15,228.0
2020-07-16,235.0
2020-07-17,241.0
2020-07-18,245.0
2020-07-19,248.0
2020-07-20,252.0
2020-07-21,255.0
2020-07-22,261.0
2020-07-23,266.0
2020-07-24,270.0
2020-07-25,273.0
2020-07-26,279.0
2020-07-27,284.0
2020-07-28,292.0
2020-07-29,296.0
2020-07-30,303.0
2020-07-31,304.0
2020-08-01,307.0
2020-08-02,309.0
2020-08-03,316.0
2020-08-04,320.0
2020-08-05,320.0
2020-08-06,322.0
2020-08-07,326.0
2020-08-08,327.0
2020-08-09,331.0
2020-08-10,333.0
