Data,NESERSCA28001
2020-03-27,0.0
2020-03-28,13.0
2020-03-29,13.0
2020-03-30,13.0
2020-03-31,16.0
2020-04-01,17.0
2020-04-02,20.0
2020-04-03,21.0
2020-04-04,23.0
2020-04-05,27.0
2020-04-06,27.0
2020-04-07,30.0
2020-04-08,30.0
2020-04-09,32.0
2020-04-10,33.0
2020-04-11,33.0
2020-04-12,35.0
2020-04-13,35.0
2020-04-14,36.0
2020-04-15,37.0
2020-04-16,38.0
2020-04-17,42.0
2020-04-18,55.0
2020-04-19,60.0
2020-04-20,63.0
2020-04-21,64.0
2020-04-22,78.0
2020-04-23,80.0
2020-04-24,99.0
2020-04-25,105.0
2020-04-26,107.0
2020-04-27,137.0
2020-04-28,203.0
2020-04-29,236.0
2020-04-30,321.0
2020-05-01,370.0
2020-05-02,422.0
2020-05-03,512.0
2020-05-04,551.0
2020-05-05,655.0
2020-05-06,736.0
2020-05-07,915.0
2020-05-08,1101.0
2020-05-09,1213.0
2020-05-10,1348.0
2020-05-11,1369.0
2020-05-12,1552.0
2020-05-13,1724.0
2020-05-14,1888.0
2020-05-15,2128.0
2020-05-16,2320.0
2020-05-17,2409.0
2020-05-18,2567.0
2020-05-19,2806.0
2020-05-20,3007.0
2020-05-21,3203.0
2020-05-22,3309.0
2020-05-23,3449.0
2020-05-24,3561.0
2020-05-25,3643.0
2020-05-26,3834.0
2020-05-27,3938.0
2020-05-28,4095.0
2020-05-29,4282.0
2020-05-30,4459.0
2020-05-31,4596.0
2020-06-01,4757.0
2020-06-02,4996.0
2020-06-03,5213.0
2020-06-04,5335.0
2020-06-05,5604.0
2020-06-06,5833.0
2020-06-07,6026.0
2020-06-08,6353.0
2020-06-09,6614.0
2020-06-10,6922.0
2020-06-11,7191.0
2020-06-12,7591.0
2020-06-13,8486.0
2020-06-14,9254.0
2020-06-15,10587.0
2020-06-16,11064.0
2020-06-17,11347.0
2020-06-18,11701.0
2020-06-19,12006.0
2020-06-20,12341.0
2020-06-21,12672.0
2020-06-22,12896.0
2020-06-23,13219.0
2020-06-24,13445.0
2020-06-25,13910.0
2020-06-26,14466.0
2020-06-27,15340.0
2020-06-28,16047.0
2020-06-29,16301.0
2020-06-30,16669.0
2020-07-01,16985.0
2020-07-02,17321.0
2020-07-03,18075.0
2020-07-04,18985.0
2020-07-05,19261.0
2020-07-06,19590.0
2020-07-07,20000.0
2020-07-08,20365.0
2020-07-09,20749.0
2020-07-10,21381.0
2020-07-11,22188.0
