Data,ONRiS_An
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,0
2020-03-27,1
2020-03-28,0
2020-03-29,0
2020-03-30,1
2020-03-31,1
2020-04-01,0
2020-04-02,1
2020-04-03,0
2020-04-04,1
2020-04-05,1
2020-04-06,0
2020-04-07,1
2020-04-08,1
2020-04-09,3
2020-04-10,2
2020-04-11,1
2020-04-12,1
2020-04-13,0
2020-04-14,2
2020-04-15,1
2020-04-16,0
2020-04-17,3
2020-04-18,2
2020-04-19,0
2020-04-20,3
2020-04-21,0
2020-04-22,0
2020-04-23,2
2020-04-24,2
2020-04-25,3
2020-04-26,1
2020-04-27,7
2020-04-28,3
2020-04-29,5
2020-04-30,1
2020-05-01,7
2020-05-02,4
2020-05-03,3
2020-05-04,9
2020-05-05,5
2020-05-06,8
2020-05-07,3
2020-05-08,1
2020-05-09,4
2020-05-10,2
2020-05-11,8
2020-05-12,6
2020-05-13,0
2020-05-14,9
2020-05-15,6
2020-05-16,6
2020-05-17,10
2020-05-18,2
2020-05-19,7
2020-05-20,10
2020-05-21,5
2020-05-22,6
2020-05-23,4
2020-05-24,4
2020-05-25,17
2020-05-26,6
2020-05-27,6
2020-05-28,4
2020-05-29,0
