Data,SURSRSCA43004
2020-03-27,0.0
2020-03-28,8.0
2020-03-29,8.0
2020-03-30,9.0
2020-03-31,9.0
2020-04-01,9.0
2020-04-02,9.0
2020-04-03,9.0
2020-04-04,10.0
2020-04-05,10.0
2020-04-06,11.0
2020-04-07,12.0
2020-04-08,12.0
2020-04-09,12.0
2020-04-10,12.0
2020-04-11,14.0
2020-04-12,14.0
2020-04-13,14.0
2020-04-14,16.0
2020-04-15,16.0
2020-04-16,16.0
2020-04-17,17.0
2020-04-18,17.0
2020-04-19,17.0
2020-04-20,17.0
2020-04-21,17.0
2020-04-22,17.0
2020-04-23,17.0
2020-04-24,18.0
2020-04-25,18.0
2020-04-26,20.0
2020-04-27,22.0
2020-04-28,23.0
2020-04-29,23.0
2020-04-30,23.0
2020-05-01,23.0
2020-05-02,23.0
2020-05-03,23.0
2020-05-04,25.0
2020-05-05,26.0
2020-05-06,46.0
2020-05-07,46.0
2020-05-08,53.0
2020-05-09,53.0
2020-05-10,53.0
2020-05-11,53.0
2020-05-12,54.0
2020-05-13,54.0
2020-05-14,54.0
2020-05-15,61.0
2020-05-16,61.0
2020-05-17,61.0
2020-05-18,61.0
2020-05-19,61.0
2020-05-20,79.0
2020-05-21,86.0
2020-05-22,86.0
2020-05-23,88.0
2020-05-24,92.0
2020-05-25,92.0
2020-05-26,92.0
2020-05-27,93.0
2020-05-28,96.0
2020-05-29,108.0
2020-05-30,113.0
2020-05-31,113.0
2020-06-01,113.0
2020-06-02,114.0
2020-06-03,115.0
2020-06-04,116.0
2020-06-05,125.0
2020-06-06,129.0
2020-06-07,132.0
2020-06-08,133.0
2020-06-09,137.0
2020-06-10,144.0
2020-06-11,150.0
2020-06-12,154.0
2020-06-13,157.0
2020-06-14,157.0
2020-06-15,166.0
2020-06-16,170.0
2020-06-17,176.0
2020-06-18,187.0
2020-06-19,191.0
2020-06-20,198.0
2020-06-21,199.0
2020-06-22,205.0
2020-06-23,209.0
2020-06-24,232.0
2020-06-25,244.0
2020-06-26,254.0
2020-06-27,275.0
2020-06-28,277.0
2020-06-29,285.0
2020-06-30,303.0
2020-07-01,307.0
2020-07-02,313.0
2020-07-03,329.0
2020-07-04,354.0
2020-07-05,356.0
2020-07-06,365.0
2020-07-07,376.0
2020-07-08,400.0
2020-07-09,424.0
2020-07-10,438.0
2020-07-11,461.0
2020-07-12,475.0
2020-07-13,478.0
2020-07-14,483.0
2020-07-15,504.0
2020-07-16,530.0
2020-07-17,536.0
2020-07-18,539.0
2020-07-19,541.0
2020-07-20,542.0
2020-07-21,598.0
2020-07-22,636.0
2020-07-23,653.0
2020-07-24,691.0
2020-07-25,739.0
2020-07-26,748.0
2020-07-27,752.0
2020-07-28,809.0
2020-07-29,873.0
2020-07-30,928.0
2020-07-31,931.0
2020-08-01,1053.0
2020-08-02,1055.0
2020-08-03,1058.0
2020-08-04,1108.0
2020-08-05,1166.0
2020-08-06,1201.0
2020-08-07,1201.0
2020-08-08,1270.0
2020-08-09,1277.0
2020-08-10,1279.0
