Data,CAPiR_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,6.0
2020-03-13,6.0
2020-03-14,6.0
2020-03-15,6.0
2020-03-16,6.0
2020-03-17,6.0
2020-03-18,13.0
2020-03-19,23.0
2020-03-20,32.0
2020-03-21,43.0
2020-03-22,50.0
2020-03-23,56.0
2020-03-24,65.0
2020-03-25,81.0
2020-03-26,102.0
2020-03-27,119.0
2020-03-28,133.0
2020-03-29,148.0
2020-03-30,155.0
2020-03-31,179.0
2020-04-01,224.0
2020-04-02,252.0
2020-04-03,301.0
2020-04-04,395.0
2020-04-05,438.0
2020-04-06,458.0
2020-04-07,503.0
2020-04-08,539.0
2020-04-09,609.0
2020-04-10,643.0
2020-04-11,676.0
2020-04-12,738.0
2020-04-13,756.0
2020-04-14,791.0
2020-04-15,803.0
2020-04-16,832.0
2020-04-17,874.0
2020-04-18,945.0
2020-04-19,987.0
2020-04-20,1007.0
2020-04-21,1024.0
2020-04-22,1063.0
2020-04-23,1082.0
2020-04-24,1119.0
2020-04-25,1140.0
2020-04-26,1156.0
2020-04-27,1186.0
2020-04-28,1271.0
2020-04-29,1348.0
2020-04-30,1407.0
2020-05-01,1447.0
2020-05-02,1492.0
2020-05-03,1514.0
2020-05-04,1562.0
2020-05-05,1588.0
2020-05-06,1627.0
2020-05-07,1656.0
2020-05-08,1711.0
2020-05-09,1785.0
2020-05-10,1835.0
2020-05-11,1849.0
2020-05-12,1906.0
2020-05-13,1996.0
2020-05-14,2063.0
2020-05-15,2139.0
2020-05-16,2242.0
2020-05-17,2286.0
2020-05-18,2360.0
2020-05-19,2481.0
2020-05-20,2616.0
2020-05-21,2810.0
2020-05-22,2939.0
2020-05-23,3099.0
2020-05-24,3212.0
2020-05-25,3331.0
2020-05-26,3512.0
2020-05-27,3712.0
2020-05-28,3984.0
2020-05-29,4236.0
2020-05-30,4473.0
2020-05-31,4687.0
2020-06-01,4835.0
2020-06-02,5163.0
2020-06-03,5494.0
2020-06-04,5820.0
2020-06-05,6348.0
2020-06-06,6605.0
2020-06-07,6897.0
2020-06-08,7031.0
2020-06-09,7314.0
2020-06-10,7831.0
2020-06-11,8457.0
2020-06-12,8705.0
2020-06-13,9233.0
2020-06-14,9583.0
2020-06-15,9716.0
2020-06-16,10557.0
2020-06-17,11085.0
2020-06-18,11919.0
2020-06-19,12785.0
2020-06-20,13662.0
2020-06-21,14501.0
