Data,SEMGRSCA31012
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,3.0
2020-04-05,3.0
2020-04-06,4.0
2020-04-07,4.0
2020-04-08,5.0
2020-04-09,6.0
2020-04-10,6.0
2020-04-11,7.0
2020-04-12,7.0
2020-04-13,7.0
2020-04-14,7.0
2020-04-15,7.0
2020-04-16,10.0
2020-04-17,11.0
2020-04-18,11.0
2020-04-19,11.0
2020-04-20,11.0
2020-04-21,11.0
2020-04-22,11.0
2020-04-23,11.0
2020-04-24,11.0
2020-04-25,12.0
2020-04-26,12.0
2020-04-27,12.0
2020-04-28,15.0
2020-04-29,16.0
2020-04-30,16.0
2020-05-01,18.0
2020-05-02,21.0
2020-05-03,21.0
2020-05-04,21.0
2020-05-05,21.0
2020-05-06,21.0
2020-05-07,22.0
2020-05-08,23.0
2020-05-09,26.0
2020-05-10,35.0
2020-05-11,34.0
2020-05-12,35.0
2020-05-13,40.0
2020-05-14,42.0
2020-05-15,43.0
2020-05-16,47.0
2020-05-17,50.0
2020-05-18,50.0
2020-05-19,50.0
2020-05-20,54.0
2020-05-21,57.0
2020-05-22,61.0
2020-05-23,62.0
2020-05-24,63.0
2020-05-25,65.0
2020-05-26,65.0
2020-05-27,67.0
2020-05-28,67.0
2020-05-29,72.0
2020-05-30,75.0
2020-05-31,75.0
2020-06-01,76.0
2020-06-02,76.0
2020-06-03,77.0
2020-06-04,79.0
2020-06-05,90.0
2020-06-06,93.0
2020-06-07,97.0
2020-06-08,97.0
2020-06-09,97.0
2020-06-10,97.0
2020-06-11,110.0
2020-06-12,114.0
2020-06-13,114.0
2020-06-14,116.0
2020-06-15,116.0
2020-06-16,116.0
2020-06-17,125.0
