Data,OAPiECiriaiui
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,2
2020-04-21,2
2020-04-22,2
2020-04-23,2
2020-04-24,3
2020-04-25,3
2020-04-26,3
2020-04-27,3
2020-04-28,3
2020-04-29,3
2020-04-30,3
2020-05-01,4
2020-05-02,5
2020-05-03,6
2020-05-04,7
2020-05-05,7
2020-05-06,7
2020-05-07,7
2020-05-08,7
2020-05-09,8
2020-05-10,8
2020-05-11,8
2020-05-12,10
2020-05-13,10
2020-05-14,11
2020-05-15,12
2020-05-16,12
2020-05-17,12
2020-05-18,13
2020-05-19,16
2020-05-20,16
2020-05-21,19
2020-05-22,20
2020-05-23,21
2020-05-24,21
2020-05-25,21
2020-05-26,23
2020-05-27,26
2020-05-28,27
2020-05-29,33
2020-05-30,33
2020-05-31,33
2020-06-01,38
2020-06-02,38
2020-06-03,40
2020-06-04,40
2020-06-05,41
2020-06-06,42
2020-06-07,43
2020-06-08,45
2020-06-09,48
2020-06-10,48
2020-06-11,51
2020-06-12,52
2020-06-13,53
2020-06-14,57
2020-06-15,58
2020-06-16,60
2020-06-17,62
2020-06-18,62
2020-06-19,63
2020-06-20,65
2020-06-21,72
2020-06-22,73
2020-06-23,81
2020-06-24,94
2020-06-25,100
2020-06-26,107
2020-06-27,111
2020-06-28,117
2020-06-29,117
2020-06-30,118
2020-07-01,127
2020-07-02,128
2020-07-03,139
2020-07-04,147
2020-07-05,149
2020-07-06,151
2020-07-07,154
2020-07-08,158
2020-07-09,163
2020-07-10,172
2020-07-11,175
2020-07-12,176
2020-07-13,177
2020-07-14,180
2020-07-15,183
2020-07-16,185
2020-07-17,188
2020-07-18,188
2020-07-19,191
2020-07-20,194
2020-07-21,203
2020-07-22,206
2020-07-23,208
2020-07-24,209
2020-07-25,213
2020-07-26,217
2020-07-27,220
2020-07-28,221
2020-07-29,225
2020-07-30,228
2020-07-31,228
2020-08-01,230
2020-08-02,237
2020-08-03,239
2020-08-04,242
2020-08-05,243
2020-08-06,245
2020-08-07,246
2020-08-08,249
2020-08-09,251
2020-08-10,255
2020-08-11,257
2020-08-12,257
2020-08-13,258
2020-08-14,259
2020-08-15,262
2020-08-16,264
2020-08-17,264
2020-08-18,267
2020-08-19,267
