Data,CAMiS_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,2.0
2020-03-17,4.0
2020-03-18,7.0
2020-03-19,7.0
2020-03-20,9.0
2020-03-21,16.0
2020-03-22,21.0
2020-03-23,21.0
2020-03-24,23.0
2020-03-25,24.0
2020-03-26,25.0
2020-03-27,28.0
2020-03-28,31.0
2020-03-29,36.0
2020-03-30,44.0
2020-03-31,48.0
2020-04-01,51.0
2020-04-02,53.0
2020-04-03,60.0
2020-04-04,62.0
2020-04-05,65.0
2020-04-06,66.0
2020-04-07,80.0
2020-04-08,85.0
2020-04-09,89.0
2020-04-10,97.0
2020-04-11,100.0
2020-04-12,101.0
2020-04-13,113.0
2020-04-14,115.0
2020-04-15,121.0
2020-04-16,131.0
2020-04-17,143.0
2020-04-18,161.0
2020-04-19,168.0
2020-04-20,171.0
2020-04-21,173.0
2020-04-22,175.0
2020-04-23,186.0
2020-04-24,213.0
2020-04-25,217.0
2020-04-26,234.0
2020-04-27,238.0
2020-04-28,240.0
2020-04-29,249.0
2020-04-30,255.0
2020-05-01,261.0
2020-05-02,266.0
2020-05-03,272.0
2020-05-04,274.0
2020-05-05,283.0
2020-05-06,288.0
2020-05-07,311.0
2020-05-08,326.0
2020-05-09,346.0
2020-05-10,362.0
2020-05-11,385.0
2020-05-12,405.0
2020-05-13,430.0
2020-05-14,452.0
2020-05-15,479.0
2020-05-16,508.0
2020-05-17,570.0
2020-05-18,613.0
2020-05-19,642.0
2020-05-20,693.0
2020-05-21,746.0
2020-05-22,805.0
2020-05-23,858.0
2020-05-24,924.0
2020-05-25,1023.0
2020-05-26,1100.0
2020-05-27,1186.0
2020-05-28,1262.0
2020-05-29,1356.0
2020-05-30,1418.0
2020-05-31,1489.0
2020-06-01,1568.0
2020-06-02,1646.0
2020-06-03,1802.0
2020-06-04,1925.0
2020-06-05,1997.0
2020-06-06,2132.0
2020-06-07,2253.0
2020-06-08,2324.0
2020-06-09,2455.0
2020-06-10,2597.0
2020-06-11,2853.0
2020-06-12,3001.0
2020-06-13,3235.0
2020-06-14,3433.0
2020-06-15,3551.0
