Data,COMSRSOA50001
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,2.0
2020-04-16,2.0
2020-04-17,2.0
2020-04-18,2.0
2020-04-19,2.0
2020-04-20,2.0
2020-04-21,2.0
2020-04-22,2.0
2020-04-23,2.0
2020-04-24,2.0
2020-04-25,2.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,3.0
2020-05-04,3.0
2020-05-05,3.0
2020-05-06,3.0
2020-05-07,3.0
2020-05-08,4.0
2020-05-09,4.0
2020-05-10,4.0
2020-05-11,4.0
2020-05-12,4.0
2020-05-13,4.0
2020-05-14,5.0
2020-05-15,5.0
2020-05-16,5.0
2020-05-17,5.0
2020-05-18,5.0
2020-05-19,5.0
2020-05-20,6.0
2020-05-21,6.0
2020-05-22,6.0
2020-05-23,6.0
2020-05-24,6.0
2020-05-25,6.0
2020-05-26,6.0
2020-05-27,6.0
2020-05-28,6.0
2020-05-29,6.0
2020-05-30,6.0
2020-05-31,7.0
2020-06-01,7.0
2020-06-02,7.0
2020-06-03,7.0
2020-06-04,7.0
2020-06-05,8.0
2020-06-06,8.0
2020-06-07,8.0
2020-06-08,8.0
2020-06-09,8.0
2020-06-10,8.0
2020-06-11,8.0
2020-06-12,9.0
2020-06-13,9.0
2020-06-14,9.0
2020-06-15,9.0
2020-06-16,9.0
2020-06-17,9.0
2020-06-18,10.0
2020-06-19,10.0
2020-06-20,10.0
2020-06-21,10.0
2020-06-22,11.0
2020-06-23,12.0
2020-06-24,12.0
2020-06-25,12.0
2020-06-26,12.0
2020-06-27,12.0
2020-06-28,12.0
2020-06-29,12.0
2020-06-30,12.0
2020-07-01,14.0
2020-07-02,18.0
2020-07-03,25.0
2020-07-04,27.0
2020-07-05,29.0
2020-07-06,30.0
2020-07-07,34.0
2020-07-08,38.0
2020-07-09,39.0
2020-07-10,44.0
2020-07-11,47.0
2020-07-12,53.0
2020-07-13,56.0
2020-07-14,63.0
2020-07-15,68.0
2020-07-16,72.0
2020-07-17,79.0
2020-07-18,85.0
2020-07-19,89.0
2020-07-20,94.0
2020-07-21,107.0
2020-07-22,113.0
2020-07-23,118.0
2020-07-24,128.0
2020-07-25,134.0
2020-07-26,142.0
2020-07-27,154.0
2020-07-28,158.0
2020-07-29,166.0
2020-07-30,176.0
2020-07-31,192.0
2020-08-01,198.0
2020-08-02,207.0
2020-08-03,217.0
2020-08-04,224.0
2020-08-05,230.0
2020-08-06,239.0
2020-08-07,255.0
2020-08-08,264.0
2020-08-09,276.0
2020-08-10,287.0
