Data,OABiA_An
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,1
2020-03-30,1
2020-03-31,2
2020-04-01,2
2020-04-02,3
2020-04-03,5
2020-04-04,7
2020-04-05,9
2020-04-06,10
2020-04-07,12
2020-04-08,15
2020-04-09,19
2020-04-10,19
2020-04-11,21
2020-04-12,21
2020-04-13,22
2020-04-14,22
2020-04-15,27
2020-04-16,30
2020-04-17,36
2020-04-18,37
2020-04-19,45
2020-04-20,46
2020-04-21,47
2020-04-22,50
2020-04-23,59
2020-04-24,64
2020-04-25,70
2020-04-26,73
2020-04-27,76
2020-04-28,86
2020-04-29,96
2020-04-30,104
2020-05-01,117
2020-05-02,123
2020-05-03,123
2020-05-04,141
2020-05-05,146
2020-05-06,160
2020-05-07,165
2020-05-08,183
2020-05-09,196
2020-05-10,202
2020-05-11,211
2020-05-12,225
2020-05-13,236
2020-05-14,262
2020-05-15,281
2020-05-16,286
2020-05-17,295
2020-05-18,312
2020-05-19,326
2020-05-20,362
2020-05-21,376
2020-05-22,399
2020-05-23,413
2020-05-24,460
2020-05-25,477
2020-05-26,495
2020-05-27,531
