Data,NESERSOA28006
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,3.0
2020-05-02,3.0
2020-05-03,3.0
2020-05-04,4.0
2020-05-05,4.0
2020-05-06,4.0
2020-05-07,4.0
2020-05-08,5.0
2020-05-09,5.0
2020-05-10,5.0
2020-05-11,7.0
2020-05-12,7.0
2020-05-13,7.0
2020-05-14,8.0
2020-05-15,8.0
2020-05-16,9.0
2020-05-17,9.0
2020-05-18,9.0
2020-05-19,9.0
2020-05-20,10.0
2020-05-21,10.0
2020-05-22,11.0
2020-05-23,12.0
2020-05-24,13.0
2020-05-25,14.0
2020-05-26,15.0
2020-05-27,19.0
2020-05-28,20.0
2020-05-29,20.0
2020-05-30,22.0
2020-05-31,22.0
2020-06-01,23.0
2020-06-02,24.0
2020-06-03,25.0
2020-06-04,26.0
2020-06-05,27.0
2020-06-06,30.0
2020-06-07,33.0
2020-06-08,37.0
2020-06-09,43.0
2020-06-10,45.0
2020-06-11,47.0
2020-06-12,53.0
2020-06-13,53.0
2020-06-14,53.0
2020-06-15,59.0
2020-06-16,59.0
2020-06-17,62.0
2020-06-18,64.0
2020-06-19,69.0
2020-06-20,75.0
2020-06-21,77.0
2020-06-22,87.0
2020-06-23,92.0
2020-06-24,94.0
2020-06-25,97.0
2020-06-26,99.0
2020-06-27,100.0
2020-06-28,103.0
2020-06-29,106.0
2020-06-30,109.0
2020-07-01,114.0
2020-07-02,116.0
2020-07-03,126.0
2020-07-04,127.0
2020-07-05,128.0
2020-07-06,134.0
2020-07-07,140.0
2020-07-08,145.0
2020-07-09,149.0
2020-07-10,153.0
2020-07-11,160.0
2020-07-12,164.0
2020-07-13,168.0
2020-07-14,171.0
2020-07-15,174.0
2020-07-16,176.0
