Data,NECERSOA23001
2020-03-27,0.0
2020-03-28,4.0
2020-03-29,5.0
2020-03-30,5.0
2020-03-31,6.0
2020-04-01,7.0
2020-04-02,17.0
2020-04-03,18.0
2020-04-04,18.0
2020-04-05,21.0
2020-04-06,25.0
2020-04-07,32.0
2020-04-08,44.0
2020-04-09,48.0
2020-04-10,56.0
2020-04-11,61.0
2020-04-12,62.0
2020-04-13,81.0
2020-04-14,90.0
2020-04-15,98.0
2020-04-16,98.0
2020-04-17,118.0
2020-04-18,146.0
2020-04-19,153.0
2020-04-20,169.0
2020-04-21,185.0
2020-04-22,196.0
2020-04-23,219.0
2020-04-24,233.0
2020-04-25,264.0
2020-04-26,290.0
2020-04-27,315.0
2020-04-28,336.0
2020-04-29,359.0
2020-04-30,384.0
2020-05-01,415.0
2020-05-02,510.0
2020-05-03,540.0
2020-05-04,566.0
2020-05-05,623.0
2020-05-06,666.0
2020-05-07,710.0
2020-05-08,757.0
2020-05-09,826.0
2020-05-10,860.0
2020-05-11,914.0
2020-05-12,972.0
2020-05-13,1047.0
2020-05-14,1064.0
2020-05-15,1114.0
2020-05-16,1192.0
2020-05-17,1203.0
2020-05-18,1282.0
2020-05-19,1337.0
2020-05-20,1363.0
2020-05-21,1534.0
2020-05-22,1579.0
2020-05-23,1605.0
2020-05-24,1610.0
2020-05-25,1720.0
2020-05-26,1803.0
2020-05-27,1827.0
2020-05-28,1848.0
2020-05-29,1921.0
2020-05-30,1982.0
2020-05-31,2011.0
2020-06-01,2127.0
2020-06-02,2276.0
2020-06-03,2380.0
2020-06-04,2470.0
2020-06-05,2492.0
2020-06-06,2507.0
2020-06-07,2506.0
2020-06-08,2587.0
2020-06-09,2670.0
2020-06-10,2753.0
2020-06-11,2845.0
2020-06-12,2906.0
2020-06-13,2914.0
2020-06-14,2917.0
