Data,NORORSOA11003
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,2.0
2020-04-23,2.0
2020-04-24,2.0
2020-04-25,2.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,3.0
2020-05-04,3.0
2020-05-05,3.0
2020-05-06,3.0
2020-05-07,3.0
2020-05-08,3.0
2020-05-09,3.0
2020-05-10,3.0
2020-05-11,3.0
2020-05-12,4.0
2020-05-13,4.0
2020-05-14,4.0
2020-05-15,4.0
2020-05-16,4.0
2020-05-17,5.0
2020-05-18,5.0
2020-05-19,5.0
2020-05-20,5.0
2020-05-21,6.0
2020-05-22,7.0
2020-05-23,7.0
2020-05-24,9.0
2020-05-25,9.0
2020-05-26,9.0
2020-05-27,9.0
2020-05-28,9.0
2020-05-29,8.0
2020-05-30,8.0
2020-05-31,8.0
2020-06-01,9.0
2020-06-02,9.0
2020-06-03,9.0
2020-06-04,10.0
2020-06-05,11.0
2020-06-06,10.0
2020-06-07,11.0
2020-06-08,11.0
2020-06-09,13.0
2020-06-10,13.0
2020-06-11,16.0
2020-06-12,14.0
2020-06-13,16.0
2020-06-14,17.0
2020-06-15,17.0
2020-06-16,20.0
2020-06-17,22.0
2020-06-18,22.0
2020-06-19,22.0
2020-06-20,22.0
2020-06-21,23.0
2020-06-22,24.0
2020-06-23,25.0
2020-06-24,27.0
2020-06-25,27.0
2020-06-26,29.0
2020-06-27,29.0
2020-06-28,30.0
2020-06-29,31.0
2020-06-30,33.0
2020-07-01,35.0
2020-07-02,37.0
2020-07-03,38.0
2020-07-04,39.0
2020-07-05,41.0
2020-07-06,42.0
2020-07-07,42.0
2020-07-08,44.0
2020-07-09,44.0
2020-07-10,45.0
2020-07-11,45.0
2020-07-12,45.0
2020-07-13,45.0
2020-07-14,48.0
2020-07-15,48.0
2020-07-16,49.0
2020-07-17,50.0
2020-07-18,50.0
2020-07-19,50.0
2020-07-20,54.0
2020-07-21,53.0
2020-07-22,55.0
2020-07-23,55.0
2020-07-24,58.0
2020-07-25,60.0
2020-07-26,60.0
2020-07-27,61.0
2020-07-28,64.0
2020-07-29,69.0
2020-07-30,69.0
2020-07-31,71.0
2020-08-01,72.0
2020-08-02,73.0
2020-08-03,75.0
2020-08-04,78.0
2020-08-05,81.0
2020-08-06,82.0
2020-08-07,83.0
2020-08-08,85.0
2020-08-09,86.0
2020-08-10,86.0
2020-08-11,88.0
2020-08-12,90.0
2020-08-13,92.0
2020-08-14,95.0
2020-08-15,99.0
2020-08-16,100.0
2020-08-17,100.0
2020-08-18,103.0
2020-08-19,106.0
